lines	Plant_height	year	loc
D2827	124.9	2023	Hefei
D2827	99.66666667	2023	Wuhan
D3765	126.7	2022	Hangzhou
D3765	119.2	2022	Hefei
D3765	129.1	2022	Wuhan
D3765	124.6666667	2023	Hangzhou
D3765	135.6	2023	Hefei
D3765	113	2023	Wuhan
D2359	130.6	2022	Hangzhou
D2359	125.3	2022	Hefei
D2359	123.4	2022	Wuhan
D2359	133	2023	Hangzhou
D2359	133.5	2023	Hefei
D2359	119.3333333	2023	Wuhan
D3516	101	2022	Hangzhou
D3516	98.1	2022	Hefei
D3516	92.3	2022	Wuhan
D3516	95	2023	Hangzhou
D3516	109.3	2023	Hefei
D3516	93.33333333	2023	Wuhan
D1931	85.8	2022	Hangzhou
D1931	105.9	2022	Hefei
D1931	97.5	2022	Wuhan
D1931	92.66666667	2023	Hangzhou
D1931	113.4	2023	Hefei
D1931	100	2023	Wuhan
D3617	95.4	2022	Hangzhou
D3617	94.2	2022	Hefei
D3617	88.9	2022	Wuhan
D3617	97.33333333	2023	Hangzhou
D3617	101.1	2023	Hefei
D3617	85	2023	Wuhan
D2337	141.8	2022	Hangzhou
D2337	138	2022	Hefei
D2337	142	2022	Wuhan
D2337	146	2023	Hangzhou
D2337	150.1	2023	Hefei
D2337	133	2023	Wuhan
D3306	127	2022	Hangzhou
D3306	122.1	2022	Hefei
D3306	118.8	2022	Wuhan
D3306	114	2023	Hangzhou
D3306	126.9	2023	Hefei
D3306	110.6666667	2023	Wuhan
D1864	80.4	2022	Hangzhou
D1864	108	2022	Hefei
D1864	93.8	2022	Wuhan
D1864	93.33333333	2023	Hangzhou
D1864	104	2023	Hefei
D1864	92.33333333	2023	Wuhan
D2647	135.4	2022	Hangzhou
D2647	130.5	2022	Hefei
D2647	131.3	2022	Wuhan
D2647	132.3333333	2023	Hangzhou
D2647	126.8	2023	Hefei
D2647	122.6666667	2023	Wuhan
D2773	130.3	2022	Hangzhou
D2773	119.8	2022	Hefei
D2773	116.2	2022	Wuhan
D2773	121.6666667	2023	Hangzhou
D2773	128	2023	Hefei
D2773	107	2023	Wuhan
D522	101.96	2022	Hangzhou
D522	113.8	2022	Hefei
D522	97.8	2022	Wuhan
D522	110	2023	Hangzhou
D522	103.4	2023	Hefei
D522	97.33333333	2023	Wuhan
D878	90.02	2022	Hangzhou
D878	90.2	2022	Hefei
D878	83.84	2022	Wuhan
D878	89	2023	Hangzhou
D878	98.4	2023	Hefei
D878	79.66666667	2023	Wuhan
D2028	109.8	2022	Hangzhou
D2028	114.2	2022	Hefei
D2028	123.6	2022	Wuhan
D2028	121	2023	Hangzhou
D2028	131.6	2023	Hefei
D2028	116.6666667	2023	Wuhan
D3033	97.2	2022	Hangzhou
D3033	94.9	2022	Hefei
D3033	95.1	2022	Wuhan
D3033	97.33333333	2023	Hangzhou
D3033	103.8	2023	Hefei
D3033	90	2023	Wuhan
D3062	130.6	2022	Hangzhou
D3062	113.8	2022	Hefei
D3062	117.7	2022	Wuhan
D3062	116	2023	Hangzhou
D3062	130.7	2023	Hefei
D3062	110.6666667	2023	Wuhan
D1549	73.34	2022	Hangzhou
D1549	83.4	2022	Hefei
D1549	76.5	2022	Wuhan
D1549	83.66666667	2023	Hangzhou
D1549	109.9	2023	Hefei
D1549	73.33333333	2023	Wuhan
D1887	200.2	2022	Hangzhou
D1887	196.7	2022	Hefei
D1887	148.2	2022	Wuhan
D1887	199.6666667	2023	Hangzhou
D1887	183	2023	Hefei
D1887	176.3333333	2023	Wuhan
D3261	126.4	2022	Hangzhou
D3261	112.3	2022	Hefei
D3261	129.4	2022	Wuhan
D3261	113	2023	Hangzhou
D3261	102.9	2023	Hefei
D3261	101	2023	Wuhan
D1234	96.52	2022	Hangzhou
D1234	93.7	2022	Hefei
D1234	92.5	2022	Wuhan
D1234	92.66666667	2023	Hangzhou
